source,external_id,title,company,location,description,url,posted_at,raw_json
"sample","northstar-001","Senior BI Analyst","Northstar Retail","Chicago, IL","Own executive dashboard reporting, SQL analysis, Power BI models, and weekly retail performance insights for store leadership.","https://example.com/jobs/northstar-001","2026-05-20T09:00:00","{}"
"sample","northstar-002","Tableau Developer","Northstar Retail","Remote, US","Build Tableau dashboards, optimize SQL extracts, and partner with merchandising leaders on KPI reporting.","https://example.com/jobs/northstar-002","2026-05-18T09:00:00","{}"
"sample","northstar-003","Store Operations Manager","Northstar Retail","Chicago, IL","Lead store labor planning, vendor coordination, and frontline process improvements across retail regions.","https://example.com/jobs/northstar-003","2026-05-11T09:00:00","{}"
"sample","northstar-004","Customer Support Ops Manager","Northstar Retail","Remote, US","Improve customer support workflows, workforce reporting, QA processes, and operational analytics for service teams.","https://example.com/jobs/northstar-004","2026-05-09T09:00:00","{}"
"sample","finbridge-001","Analytics Engineer","FinBridge Capital","New York, NY","Develop dbt models, SQL pipelines, governed metrics, and dashboards for finance, sales, and risk stakeholders.","https://example.com/jobs/finbridge-001","2026-05-22T09:00:00","{}"
"sample","finbridge-002","Data Engineer","FinBridge Capital","New York, NY","Build data warehouse pipelines, analytics marts, ELT reliability, and reporting datasets for commercial banking teams.","https://example.com/jobs/finbridge-002","2026-05-19T09:00:00","{}"
"sample","finbridge-003","Compliance Analyst","FinBridge Capital","Jersey City, NJ","Support regulatory reporting, audit controls, policy reviews, and compliance documentation for lending products.","https://example.com/jobs/finbridge-003","2026-05-14T09:00:00","{}"
"sample","finbridge-004","IAM Engineer","FinBridge Capital","Remote, US","Manage identity governance, access reviews, SSO integrations, privileged access, and audit readiness.","https://example.com/jobs/finbridge-004","2026-05-10T09:00:00","{}"
"sample","atlas-001","RevOps Manager","Atlas Logistics","Dallas, TX","Own CRM hygiene, revenue dashboards, forecasting reports, SQL-backed funnel analysis, and sales operations processes.","https://example.com/jobs/atlas-001","2026-05-21T09:00:00","{}"
"sample","atlas-002","Power BI Analyst","Atlas Logistics","Dallas, TX","Create Power BI dashboards, operational scorecards, route performance reporting, and SQL data models for logistics leaders.","https://example.com/jobs/atlas-002","2026-05-16T09:00:00","{}"
"sample","atlas-003","DevOps Engineer","Atlas Logistics","Austin, TX","Improve CI/CD, Kubernetes deployments, cloud infrastructure automation, and incident response for shipment platforms.","https://example.com/jobs/atlas-003","2026-05-12T09:00:00","{}"
"sample","atlas-004","Warehouse Coordinator","Atlas Logistics","Fort Worth, TX","Coordinate warehouse shifts, carrier handoffs, inventory checks, and daily shipment exception handling.","https://example.com/jobs/atlas-004","2026-05-04T09:00:00","{}"
"sample","lumina-001","Tableau Reporting Analyst","Lumina Health","Boston, MA","Design Tableau executive reporting, patient access dashboards, SQL extracts, and recurring healthcare analytics packs.","https://example.com/jobs/lumina-001","2026-05-23T09:00:00","{}"
"sample","lumina-002","Data Engineer","Lumina Health","Boston, MA","Create secure data pipelines, healthcare analytics datasets, SQL transformations, and governed BI data products.","https://example.com/jobs/lumina-002","2026-05-17T09:00:00","{}"
"sample","lumina-003","SOC Analyst","Lumina Health","Remote, US","Monitor security alerts, triage incidents, document response playbooks, and support HIPAA compliance operations.","https://example.com/jobs/lumina-003","2026-05-15T09:00:00","{}"
"sample","lumina-004","Nurse Recruiter","Lumina Health","Boston, MA","Source clinical talent, coordinate interviews, manage candidate pipelines, and support hospital staffing priorities.","https://example.com/jobs/lumina-004","2026-05-06T09:00:00","{}"
"sample","helio-001","Revenue Operations Analyst","Helio SaaS","San Francisco, CA","Maintain GTM dashboards, sales reporting, funnel analysis, SQL analysis, and pipeline metrics for SaaS leadership.","https://example.com/jobs/helio-001","2026-05-24T09:00:00","{}"
"sample","helio-002","AI Automation Specialist","Helio SaaS","Remote, US","Build AI workflow automations, support ticket routing, process analytics, and lightweight internal tools for operations.","https://example.com/jobs/helio-002","2026-05-18T09:00:00","{}"
"sample","helio-003","Cloud Engineer","Helio SaaS","San Francisco, CA","Scale AWS services, Kubernetes workloads, Terraform modules, observability, and cloud cost optimization.","https://example.com/jobs/helio-003","2026-05-13T09:00:00","{}"
"sample","helio-004","Product Marketing Manager","Helio SaaS","Remote, US","Launch product messaging, campaigns, customer stories, and sales enablement for a B2B SaaS platform.","https://example.com/jobs/helio-004","2026-05-07T09:00:00","{}"
"sample","byteharbor-001","Platform Engineer","ByteHarbor","Seattle, WA","Build internal developer platforms, Kubernetes automation, cloud infrastructure modules, and service reliability tooling.","https://example.com/jobs/byteharbor-001","2026-05-22T09:00:00","{}"
"sample","byteharbor-002","SRE Engineer","ByteHarbor","Seattle, WA","Improve reliability, incident response, observability, SLO practices, and production platform operations.","https://example.com/jobs/byteharbor-002","2026-05-20T09:00:00","{}"
"sample","byteharbor-003","Security Engineer","ByteHarbor","Remote, US","Harden cloud environments, tune detection controls, improve incident response, and manage security tooling.","https://example.com/jobs/byteharbor-003","2026-05-14T09:00:00","{}"
"sample","byteharbor-004","Analytics Engineer","ByteHarbor","Seattle, WA","Own product analytics data models, SQL metrics layers, reporting workflows, and dashboard quality for product teams.","https://example.com/jobs/byteharbor-004","2026-05-08T09:00:00","{}"
"sample","greengrid-001","Data Warehouse Engineer","GreenGrid Energy","Denver, CO","Build warehouse models, SQL pipelines, dashboard-ready datasets, and reporting automation for energy operations.","https://example.com/jobs/greengrid-001","2026-05-21T09:00:00","{}"
"sample","greengrid-002","BI Analyst","GreenGrid Energy","Denver, CO","Create BI dashboards, Power BI reports, executive metrics, and operational analytics for renewable energy assets.","https://example.com/jobs/greengrid-002","2026-05-15T09:00:00","{}"
"sample","greengrid-003","Compliance Analyst","GreenGrid Energy","Remote, US","Track energy compliance requirements, audit evidence, risk controls, and regulatory reporting deadlines.","https://example.com/jobs/greengrid-003","2026-05-09T09:00:00","{}"
"sample","greengrid-004","Field Technician","GreenGrid Energy","Boulder, CO","Maintain renewable energy equipment, inspect sites, coordinate repairs, and document field service activity.","https://example.com/jobs/greengrid-004","2026-05-02T09:00:00","{}"
"sample","horizon-001","Executive Reporting Manager","Horizon Foods","Minneapolis, MN","Own weekly executive reporting, SQL-backed scorecards, Tableau dashboards, and operational KPI packs.","https://example.com/jobs/horizon-001","2026-05-23T09:00:00","{}"
"sample","horizon-002","SQL Data Analyst","Horizon Foods","Minneapolis, MN","Analyze supply chain data, create SQL reporting datasets, automate dashboards, and support finance analytics.","https://example.com/jobs/horizon-002","2026-05-18T09:00:00","{}"
"sample","horizon-003","Customer Support Ops Manager","Horizon Foods","Remote, US","Optimize support queues, knowledge workflows, service-level reporting, and customer operations staffing models.","https://example.com/jobs/horizon-003","2026-05-10T09:00:00","{}"
"sample","horizon-004","Food Safety Specialist","Horizon Foods","Omaha, NE","Manage food safety audits, facility inspections, corrective actions, and supplier documentation reviews.","https://example.com/jobs/horizon-004","2026-05-01T09:00:00","{}"
"sample","meridian-001","Tableau Developer","Meridian Bank","Charlotte, NC","Develop Tableau dashboards, SQL extracts, branch performance reporting, and executive scorecards for banking leaders.","https://example.com/jobs/meridian-001","2026-05-24T09:00:00","{}"
"sample","meridian-002","Fraud Analytics Engineer","Meridian Bank","Charlotte, NC","Build analytics engineering models, SQL pipelines, anomaly reporting, and dashboard datasets for fraud operations.","https://example.com/jobs/meridian-002","2026-05-16T09:00:00","{}"
"sample","meridian-003","IAM Architect","Meridian Bank","Remote, US","Lead identity architecture, access governance, privileged access strategy, and IAM compliance roadmaps.","https://example.com/jobs/meridian-003","2026-05-12T09:00:00","{}"
"sample","meridian-004","Compliance Analyst","Meridian Bank","Charlotte, NC","Prepare audit evidence, regulatory reporting, risk controls, compliance testing, and policy updates.","https://example.com/jobs/meridian-004","2026-05-05T09:00:00","{}"
"sample","cloudworks-001","Cloud Engineer","CloudWorks Studio","Remote, US","Deliver AWS infrastructure, Terraform modules, Kubernetes clusters, cloud networking, and platform automation.","https://example.com/jobs/cloudworks-001","2026-05-20T09:00:00","{}"
"sample","cloudworks-002","DevOps Engineer","CloudWorks Studio","Remote, US","Improve deployment pipelines, release automation, container platforms, incident playbooks, and infrastructure reliability.","https://example.com/jobs/cloudworks-002","2026-05-17T09:00:00","{}"
"sample","cloudworks-003","Platform SRE","CloudWorks Studio","Remote, US","Own service reliability, observability standards, SLO dashboards, capacity planning, and production operations.","https://example.com/jobs/cloudworks-003","2026-05-14T09:00:00","{}"
"sample","cloudworks-004","Visual Designer","CloudWorks Studio","Portland, OR","Create brand systems, web visuals, presentation templates, and campaign graphics for client launches.","https://example.com/jobs/cloudworks-004","2026-05-03T09:00:00","{}"
"sample","sentinel-001","SOC Analyst","Sentinel Insurance","Hartford, CT","Monitor SIEM alerts, investigate incidents, improve SOC runbooks, and coordinate cyber response activity.","https://example.com/jobs/sentinel-001","2026-05-22T09:00:00","{}"
"sample","sentinel-002","Security Engineer","Sentinel Insurance","Remote, US","Implement security controls, vulnerability management, cloud security posture, and incident response improvements.","https://example.com/jobs/sentinel-002","2026-05-18T09:00:00","{}"
"sample","sentinel-003","Claims BI Analyst","Sentinel Insurance","Hartford, CT","Build claims dashboards, Power BI reporting, SQL analysis, and executive metrics for insurance operations.","https://example.com/jobs/sentinel-003","2026-05-11T09:00:00","{}"
"sample","sentinel-004","Risk Compliance Manager","Sentinel Insurance","Hartford, CT","Manage compliance programs, risk controls, audit evidence, policy governance, and regulatory response plans.","https://example.com/jobs/sentinel-004","2026-05-06T09:00:00","{}"
"sample","orbit-001","RevOps Manager","Orbit Manufacturing","Cleveland, OH","Own revenue operations, sales reporting, SQL dashboard requirements, forecasting hygiene, and executive pipeline reviews.","https://example.com/jobs/orbit-001","2026-05-19T09:00:00","{}"
"sample","orbit-002","Data Engineer","Orbit Manufacturing","Cleveland, OH","Build manufacturing data pipelines, warehouse models, quality reporting datasets, and dashboard automation.","https://example.com/jobs/orbit-002","2026-05-13T09:00:00","{}"
"sample","orbit-003","Maintenance Planner","Orbit Manufacturing","Cleveland, OH","Schedule maintenance work, coordinate spare parts, manage production downtime plans, and track work orders.","https://example.com/jobs/orbit-003","2026-05-08T09:00:00","{}"
"sample","orbit-004","Procurement Analyst","Orbit Manufacturing","Cleveland, OH","Analyze supplier pricing, purchase orders, inventory usage, contract terms, and category spend trends.","https://example.com/jobs/orbit-004","2026-05-02T09:00:00","{}"
